,name,last_name,stance,wins,losses,SLpM,fights,tko_win_ratio
2925,Muslim,Salikhov,Orthodox,18,2,3.13,20,0.4
2936,Diego,Sanchez,Southpaw,31,13,2.69,44,0.27
2944,Andrew,Sanchez,Orthodox,13,7,4.3,20,0.2
2949,Cory,Sandhagen,Switch,14,4,6.42,18,0.57
2973,Leonardo,Santos,Orthodox,18,6,2.88,24,0.29
2974,Thiago,Santos,Orthodox,22,9,3.95,31,0.79
2978,Taila,Santos,Orthodox,19,1,3.71,20,0.0
2998,Ben,Saunders,Orthodox,22,13,3.23,35,0.33
3008,Brendan,Schaub,Orthodox,10,5,2.92,15,0.5
3015,Semmy,Schilt,Orthodox,26,14,1.2,40,0.67
3019,Matt,Schnell,Orthodox,15,5,4.23,20,0.0
3049,Matt,Serra,Orthodox,11,7,1.98,18,0.29
3054,Dan,Severn,Southpaw,101,19,0.0,120,0.1
3057,Edmen,Shahbazyan,Orthodox,11,3,3.24,14,0.6
3061,Ken,Shamrock,Orthodox,28,17,1.47,45,0.38
3062,Frank,Shamrock,Orthodox,23,10,4.75,33,0.38
3066,Sean,Sherk,Orthodox,36,4,2.17,40,0.11
3068,Valentina,Shevchenko,Southpaw,22,3,3.21,25,0.36
3071,Jake,Shields,Orthodox,31,9,2.45,40,0.06
3081,Akira,Shoji,Orthodox,14,17,1.03,31,0.22
3087,Sam,Sicilia,Orthodox,15,8,2.46,23,0.6
3089,Steven,Siler,Orthodox,29,16,3.21,45,0.2
3093,Anderson,Silva,Southpaw,34,11,3.05,45,0.65
3094,Wanderlei,Silva,Orthodox,35,13,2.79,48,0.7
3095,Thiago,Silva,Orthodox,19,6,3.92,25,0.85
3101,Antonio,Silva,Orthodox,19,12,2.89,31,0.7
3103,Erick,Silva,Orthodox,19,9,2.5,28,0.29
3105,Claudio,Silva,Southpaw,14,3,2.81,17,0.0
3119,Douglas,Silva de Andrade,Orthodox,28,4,3.83,32,0.33
3124,Ricky,Simon,Orthodox,19,3,3.04,22,0.25
3125,Aaron,Simpson,Orthodox,12,5,3.6,17,0.38
3138,Dennis,Siver,Orthodox,23,11,3.87,34,0.25
3139,Chas,Skelly,Orthodox,19,3,2.01,22,0.25
3146,Maurice,Smith,Orthodox,12,14,0.41,26,0.17
3148,Scott,Smith,Orthodox,18,11,1.9,29,1.0
3154,Trevor,Smith,Orthodox,15,10,3.29,25,0.0
3155,Anthony,Smith,Orthodox,36,16,3.03,52,0.54
3165,Louis,Smolka,Orthodox,17,8,4.54,25,0.5
3171,Renato,Sobral,Orthodox,37,11,2.23,48,0.09
3172,Rameau Thierry,Sokoudjou,Orthodox,18,18,2.26,36,1.0
3178,Song,Yadong,Orthodox,18,5,4.88,23,0.43
3179,Chael,Sonnen,Southpaw,29,15,3.08,44,0.0
3187,Krzysztof,Soszynski,Open Stance,26,12,3.37,38,0.33
3188,George,Sotiropoulos,Orthodox,14,7,2.61,21,0.14
3196,Jacare,Souza,Orthodox,26,10,2.53,36,0.26
3203,Ryan,Spann,Orthodox,19,7,3.43,26,0.33
3215,Serghei,Spivac,Orthodox,13,3,3.71,16,0.4
3219,Georges,St-Pierre,Orthodox,26,2,3.78,28,0.31
3223,Cody,Stamann,Orthodox,19,5,4.02,24,0.0
3225,Brian,Stann,Orthodox,12,6,3.28,18,0.73
3240,Jeremy,Stephens,Orthodox,28,19,3.17,47,0.53
3241,Aljamain,Sterling,Orthodox,20,3,4.84,23,0.08
3243,Joe,Stevenson,Orthodox,33,16,2.05,49,0.27
3245,Luke,Stewart,Orthodox,6,3,3.75,9,0.5
3246,Darren,Stewart,Orthodox,12,8,3.05,20,0.4
3259,Rick,Story,Southpaw,19,9,3.8,28,0.17
3263,Sam,Stout,Orthodox,20,12,4.17,32,0.11
3270,Sean,Strickland,Orthodox,25,3,5.53,28,0.25
3273,Stefan,Struve,Orthodox,33,13,3.12,46,0.38
3277,Tatiana,Suarez,Southpaw,9,0,4.82,9,0.2
3295,Cub,Swanson,Orthodox,28,12,4.66,40,0.33
3296,Mike,Swick,Orthodox,15,6,2.36,21,0.5
3302,Tim,Sylvia,Orthodox,31,10,4.23,41,0.56
3311,Mairbek,Taisumov,Orthodox,27,6,2.98,33,0.71
3316,Hiroyuki,Takaya,Orthodox,21,14,3.18,35,0.62
3319,Oleg,Taktarov,Orthodox,17,5,0.0,22,0.0
3320,Nordine,Taleb,Orthodox,15,7,3.66,22,0.29
3323,Kiyoshi,Tamura,Southpaw,32,13,2.44,45,0.57
3329,Evan,Tanner,Orthodox,32,8,3.05,40,0.45
3332,Miesha,Tate,Orthodox,19,8,2.41,27,0.08
3334,Thiago,Tavares,Orthodox,21,7,2.0,28,0.1
3336,Brad,Tavares,Orthodox,19,7,3.18,26,0.14
3344,James,Te Huna,Orthodox,16,9,4.04,25,0.6
3346,Glover,Teixeira,Orthodox,33,7,3.72,40,0.42
3354,James,Terry,Orthodox,19,9,3.23,28,0.67
3356,David,Teymur,Southpaw,8,2,4.69,10,0.4
3361,Elias,Theodorou,Orthodox,16,3,4.19,19,0.25
3363,Paulo,Thiago,Orthodox,18,9,1.71,27,0.2
3364,Din,Thomas,Orthodox,26,9,1.85,35,0.0
3370,James,Thompson,Orthodox,20,16,5.13,36,1.0
3372,Stephen,Thompson,Orthodox,16,6,3.9,22,0.45
3373,Josh,Thomson,Orthodox,22,9,2.59,31,0.27
3376,Gleison,Tibau,Southpaw,33,14,1.95,47,0.06
3379,Darren,Till,Southpaw,18,4,2.26,22,0.33
3384,Hideo,Tokoro,Orthodox,34,29,1.78,63,0.12
3393,Miguel,Torres,Orthodox,44,9,3.98,53,0.25
3396,Tecia,Torres,Orthodox,13,5,4.71,18,0.11
3410,Frank,Trigg,Southpaw,21,9,2.79,30,0.75
3411,Francisco,Trinaldo,Southpaw,27,8,3.04,35,0.29
3418,Abel,Trujillo,Orthodox,15,8,2.65,23,0.5
3419,Arman,Tsarukyan,Orthodox,18,2,3.75,20,0.4
3426,Tai,Tuivasa,Southpaw,15,3,4.54,18,0.88
3427,Zubaira,Tukhugov,Orthodox,20,5,2.94,25,0.4
3429,Albert,Tumenov,Orthodox,18,4,3.76,22,0.6
3435,Jalin,Turner,Southpaw,11,5,6.2,16,0.67
3437,Marcin,Tybura,Orthodox,22,7,3.65,29,0.44
3447,Caol,Uno,Southpaw,33,19,1.91,52,0.2
3455,Kamaru,Usman,Switch,20,1,4.66,21,0.27
3456,Darren,Uyenoyama,Orthodox,10,6,1.34,16,0.0
3460,Charlie,Valencia,Orthodox,12,7,2.58,19,0.2
3476,Paige,VanZant,Orthodox,8,5,3.35,13,0.4
3479,Jamie,Varner,Orthodox,21,11,2.92,32,0.57
3489,Cain,Velasquez,Orthodox,14,3,6.37,17,0.86
3496,Brandon,Vera,Orthodox,15,7,3.03,22,0.6
3498,Marlon,Vera,Switch,18,7,4.08,25,0.5
3505,Marvin,Vettori,Southpaw,18,5,4.35,23,0.0
3510,James,Vick,Orthodox,13,5,4.13,18,0.22
3513,Ketlen,Vieira,Orthodox,12,2,3.07,14,0.0
3518,Gian,Villante,Orthodox,17,14,4.38,31,0.5
3531,Alexander,Volkanovski,Orthodox,23,1,6.42,24,0.3
3532,Jacob,Volkmann,Southpaw,19,7,1.19,26,0.0
3533,Alexander,Volkov,Orthodox,34,9,4.86,43,0.5
3537,Igor,Vovchanchyn,Orthodox,55,10,1.59,65,0.56
3539,Chris,Wade,Orthodox,12,3,1.7,15,0.0
3546,Johnny,Walker,Orthodox,18,7,3.45,25,0.8
3572,Ron,Waterman,Orthodox,16,6,0.84,22,0.2
3575,Michelle,Waterson,Orthodox,18,9,3.57,27,0.0
3590,Chris,Weidman,Orthodox,15,6,3.03,21,0.36
3594,Fabricio,Werdum,Orthodox,24,9,3.59,33,0.26
3610,Robert,Whittaker,Orthodox,24,6,4.45,30,0.36
3614,Justin,Wilcox,Orthodox,14,7,3.82,21,0.2
3635,Matt,Wiman,Orthodox,16,10,3.17,26,0.2
3636,Eddie,Wineland,Orthodox,24,15,3.4,39,0.73
3647,Joanne,Wood,Orthodox,15,7,6.71,22,0.14
3649,Tyron,Woodley,Orthodox,19,7,2.36,26,0.35
3667,Rani,Yahya,Orthodox,28,10,1.58,38,0.0
3677,Yan,Xiaonan,Orthodox,13,2,5.95,15,0.0
3678,Petr,Yan,Switch,16,2,5.98,18,0.5
3681,Adrian,Yanez,Orthodox,15,3,6.35,18,0.8
3697,Hidehiko,Yoshida,Orthodox,6,8,1.05,14,0.0
3707,Sodiq,Yusuff,Orthodox,11,2,5.43,13,0.4
3714,Elizeu,Zaleski dos Santos,Orthodox,23,7,4.65,30,0.33
3717,Marius,Zaromskis,Orthodox,20,9,5.02,29,0.67
3726,Zhang,Weili,Switch,21,3,5.47,24,0.2
