,name,last_name,stance,wins,losses,SLpM,fights,tko_win_ratio
1082,Claudia,Gadelha,Orthodox,18,5,3.31,23,0.0
1084,Justin,Gaethje,Orthodox,23,3,7.5,26,0.83
1092,Mickey,Gall,Switch,7,4,2.92,11,0.0
1101,Manvel,Gamburyan,Orthodox,15,10,2.13,25,0.11
1105,Ciryl,Gane,Orthodox,10,1,4.83,11,0.29
1108,Cody,Garbrandt,Orthodox,12,5,3.16,17,0.71
1109,Leonard,Garcia,Orthodox,18,13,2.77,31,0.33
1112,Alex,Garcia,Orthodox,15,6,1.81,21,0.4
1124,Kelvin,Gastelum,Southpaw,17,8,3.53,25,0.27
1137,Christos,Giagos,Orthodox,19,9,2.88,28,0.0
1149,Trevin,Giles,Orthodox,14,4,3.09,18,0.6
1152,Gregor,Gillespie,Orthodox,14,1,3.74,15,0.57
1184,Takanori,Gomi,Southpaw,35,14,3.81,49,0.53
1185,Akihiro,Gono,Switch,35,21,2.18,56,0.0
1186,Gabriel,Gonzaga,Orthodox,17,11,2.12,28,0.58
1201,Gary,Goodridge,Orthodox,23,22,1.84,45,0.86
1205,Jared,Gordon,Orthodox,18,4,5.22,22,0.17
1214,Wilson,Gouveia,Orthodox,14,8,3.02,22,0.33
1219,Royce,Gracie,Southpaw,15,2,0.88,17,0.08
1227,Ryan,Gracie,Orthodox,5,2,0.82,7,0.4
1238,TJ,Grant,Orthodox,21,5,3.95,26,0.38
1241,Alexa,Grasso,Orthodox,13,3,4.96,16,0.0
1248,Bobby,Green,Orthodox,29,13,5.88,42,0.14
1253,Forrest,Griffin,Orthodox,19,7,4.38,26,0.17
1254,Tyson,Griffin,Orthodox,16,8,3.71,24,0.22
1255,Max,Griffin,Orthodox,18,8,4.35,26,0.5
1263,Kendall,Grove,Orthodox,23,17,2.31,40,0.29
1272,Clay,Guida,Orthodox,37,18,2.53,55,0.11
1274,Melvin,Guillard,Orthodox,32,18,2.96,50,0.67
1281,Jorge,Gurgel,Orthodox,14,10,3.37,24,0.0
1284,Alexander,Gustafsson,Orthodox,18,7,4.02,25,0.5
1287,Chris,Gutierrez,Orthodox,17,3,4.63,20,0.2
1299,Uriah,Hall,Orthodox,18,10,3.47,28,0.8
1300,Ryan,Hall,Southpaw,9,2,2.38,11,0.0
1301,Dennis,Hallman,Orthodox,53,20,1.12,73,0.17
1309,Matt,Hamill,Orthodox,12,8,3.69,20,0.5
1316,Joachim,Hansen,Southpaw,23,14,2.01,37,0.33
1318,Nasrat,Haqparast,Southpaw,13,5,5.17,18,0.2
1321,Dan,Hardy,Orthodox,25,10,2.46,35,0.33
1322,Greg,Hardy,Orthodox,7,4,4.84,11,0.83
1328,Walt,Harris,Southpaw,13,10,3.05,23,1.0
1343,John,Hathaway,Orthodox,17,2,3.4,19,0.14
1353,Dustin,Hazelett,Orthodox,12,7,2.24,19,0.0
1355,Pat,Healy,Orthodox,34,23,2.57,57,0.12
1367,Dan,Henderson,Orthodox,32,15,2.44,47,0.59
1368,Benson,Henderson,Southpaw,24,7,2.93,31,0.06
1371,Johny,Hendricks,Southpaw,18,8,3.49,26,0.4
1379,Ed,Herman,Orthodox,27,15,3.28,42,0.31
1381,Jack,Hermansson,Orthodox,22,7,4.97,29,0.33
1385,Alexander,Hernandez,Orthodox,13,5,3.97,18,0.6
1393,Felice,Herrig,Orthodox,14,9,3.63,23,0.0
1394,Heath,Herring,Orthodox,28,16,2.37,44,0.36
1404,Jason,High,Southpaw,21,6,1.28,27,0.0
1409,Angela,Hill,Orthodox,13,11,5.56,24,0.25
1411,Jamahal,Hill,Southpaw,10,1,7.06,11,0.8
1426,Kevin,Holland,Orthodox,21,7,3.67,28,0.4
1428,Max,Holloway,Orthodox,23,6,7.38,29,0.47
1431,Holly,Holm,Southpaw,14,5,3.16,19,0.29
1438,Scott,Holtzman,Orthodox,14,5,4.32,19,0.29
1440,Mark,Hominick,Orthodox,20,12,4.08,32,0.29
1446,Dan,Hooker,Switch,21,11,4.9,32,0.55
1451,Kyoji,Horiguchi,Orthodox,19,2,3.6,21,0.29
1452,Jeremy,Horn,Orthodox,91,22,1.19,113,0.22
1464,John,Howard,Orthodox,24,13,2.15,37,0.29
1472,Roger,Huerta,Orthodox,23,9,3.64,32,0.5
1474,Matt,Hughes,Switch,45,9,2.14,54,0.44
1482,Mark,Hunt,Orthodox,13,14,2.81,27,0.77
1487,Al,Iaquinta,Orthodox,14,7,4.06,21,0.44
1490,Dan,Ige,Orthodox,15,5,3.9,20,0.25
1514,Mitsuhiro,Ishida,Southpaw,20,8,1.46,28,0.0
1529,Yves,Jabouin,Orthodox,20,11,3.06,31,0.0
1531,Eugene,Jackson,Orthodox,15,9,2.19,24,0.5
1532,Quinton,Jackson,Orthodox,37,12,3.25,49,0.57
1538,Montel,Jackson,Southpaw,11,2,3.42,13,0.33
1540,Dustin,Jacoby,Orthodox,16,5,5.2,21,0.33
1549,Keith,Jardine,Orthodox,17,11,3.25,28,0.3
1556,Joanna,Jedrzejczyk,Orthodox,16,4,6.3,20,0.2
1574,Brett,Johns,Orthodox,17,2,2.86,19,0.0
1576,Anthony,Johnson,Orthodox,22,6,3.25,28,0.85
1582,Lavar,Johnson,Orthodox,18,10,5.39,28,1.0
1583,Demetrious,Johnson,Orthodox,27,3,3.43,30,0.12
1584,Michael,Johnson,Southpaw,20,17,4.21,37,0.36
1598,Jon,Jones,Orthodox,26,1,4.3,27,0.25
1617,Shawn,Jordan,Southpaw,19,8,2.87,27,0.86
1619,Scott,Jorgensen,Orthodox,15,12,3.37,27,0.18
1623,Krzysztof,Jotko,Southpaw,23,5,2.92,28,0.1
1624,Alan,Jouban,Southpaw,17,7,5.67,24,0.5
1633,Chan Sung,Jung,Orthodox,17,6,4.07,23,0.57
1637,Myles,Jury,Orthodox,17,4,2.94,21,0.38
1638,Cristiane,Justino,Orthodox,21,2,7.28,23,0.75
1647,Martin,Kampmann,Orthodox,20,7,3.22,27,0.25
1652,Denis,Kang,Orthodox,35,16,2.27,51,0.29
1653,Kyung Ho,Kang,Orthodox,17,9,2.56,26,0.0
1656,Kai,Kara-France,Orthodox,23,9,5.09,32,0.33
1658,Alex,Karalexis,Orthodox,10,6,2.57,16,0.6
1665,Calvin,Kattar,Orthodox,23,5,5.19,28,0.57
1666,Sarah,Kaufman,Orthodox,18,4,6.65,22,0.14
1669,Tatsuya,Kawajiri,Orthodox,36,11,2.04,47,0.2
1676,Brian,Kelleher,Switch,24,12,3.49,36,0.25
1679,Paul,Kelly,Orthodox,14,5,3.22,19,0.2
1681,Daniel,Kelly,Southpaw,13,4,3.62,17,0.17
1682,Tim,Kennedy,Orthodox,18,6,2.78,24,0.3
1686,Casey,Kenney,Southpaw,16,4,4.85,20,0.0
1688,Mark,Kerr,Switch,15,11,0.28,26,0.2
1691,Rustam,Khabilov,Orthodox,24,4,1.98,28,0.2
1694,Sergei,Kharitonov,Orthodox,26,6,3.9,32,0.67
1699,Katsunori,Kikuno,Orthodox,24,8,2.64,32,0.4
1702,Dong Hyun,Kim,Southpaw,22,4,2.12,26,0.31
1724,Drakkar,Klose,Orthodox,11,2,3.89,13,0.0
1728,William,Knight,Orthodox,11,3,3.18,14,0.6
1731,Erik,Koch,Southpaw,16,6,2.33,22,0.38
1741,Cheick,Kongo,Orthodox,27,10,3.33,37,0.64
1746,Josh,Koscheck,Orthodox,17,11,1.79,28,0.4
1752,Karolina,Kowalkiewicz,Orthodox,12,7,5.16,19,0.0
1755,James,Krause,Orthodox,28,9,4.79,37,0.33
1759,Nikita,Krylov,Orthodox,27,8,4.33,35,0.38
1781,Mike,Kyle,Orthodox,22,14,3.93,36,0.6
1787,Ryan,LaFlare,Southpaw,14,3,2.89,17,0.0
1795,Ricardo,Lamas,Orthodox,20,8,3.13,28,0.33
1805,Chad,Laprise,Orthodox,13,4,4.78,17,0.5
1809,Lorenz,Larkin,Orthodox,18,6,3.53,24,0.44
1811,Brock,Larson,Southpaw,42,10,1.39,52,0.29
1814,Ilir,Latifi,Orthodox,16,8,1.84,24,0.38
1817,Joe,Lauzon,Orthodox,28,16,2.84,44,0.4
1820,Muhammed,Lawal,Southpaw,21,6,3.79,27,0.75
1821,Robbie,Lawler,Southpaw,29,15,3.73,44,0.65
1822,Tom,Lawlor,Southpaw,10,6,2.5,16,0.33
1826,Eric,Lawson,Orthodox,9,5,1.58,14,0.2
1830,Cung,Le,Southpaw,9,3,4.36,12,0.89
1834,Chris,Leben,Southpaw,22,11,2.87,33,0.57
1847,Kevin,Lee,Orthodox,18,7,3.89,25,0.27
1849,Andrea,Lee,Orthodox,13,5,5.74,18,0.2
1853,Thales,Leites,Orthodox,28,9,2.13,37,0.15
1856,Amanda,Lemos,Southpaw,11,1,5.35,12,0.4
1861,Nik,Lentz,Orthodox,30,12,3.44,42,0.21
1869,Brock,Lesnar,Orthodox,5,3,3.53,8,0.6
1879,Derrick,Lewis,Orthodox,26,9,2.56,35,0.76
1883,Li,Jingliang,Orthodox,18,7,4.42,25,0.7
1885,Chuck,Liddell,Orthodox,21,8,2.97,29,0.67
1898,Matt,Lindland,Southpaw,22,9,2.62,31,0.36
1900,John,Lineker,Orthodox,31,9,5.36,40,0.5
1905,Dean,Lister,Orthodox,13,7,1.26,20,0.0
1943,Duane,Ludwig,Orthodox,21,14,4.62,35,0.43
1947,Vicente,Luque,Orthodox,21,7,5.65,28,0.57
1954,Chris,Lytle,Orthodox,31,18,3.76,49,0.17
